Timestamp,Cycle,Switch DPID,Switch Name,Type
2025-05-14 14:02:58,1,29206341865539,s0,Switch
2025-05-14 14:02:58,1,1,s1,Switch
2025-05-14 14:02:58,1,2,s2,Switch
2025-05-14 14:02:58,1,3,s3,Switch
2025-05-14 14:02:58,1,4,s4,Switch
2025-05-14 14:02:58,1,5,s5,Switch
2025-05-14 14:02:58,1,6,s6,Switch
2025-05-14 14:02:58,1,7,s7,Switch
2025-05-14 14:02:58,1,8,s8,Switch
2025-05-14 14:02:58,1,9,s9,Switch
2025-05-14 14:02:58,1,10,s10,Switch
2025-05-14 14:02:58,1,11,ap1,AP
2025-05-14 14:02:58,1,12,ap2,AP
2025-05-14 14:02:58,1,13,ap3,AP
2025-05-14 14:02:58,1,14,ap4,AP
2025-05-14 14:02:58,1,15,ap5,AP
2025-05-14 14:02:58,1,16,ap6,AP
2025-05-14 14:02:58,1,17,ap7,AP
2025-05-14 14:02:58,1,18,ap8,AP
2025-05-14 14:03:05,2,29206341865539,s0,Switch
2025-05-14 14:03:05,2,1,s1,Switch
2025-05-14 14:03:05,2,2,s2,Switch
2025-05-14 14:03:05,2,3,s3,Switch
2025-05-14 14:03:05,2,4,s4,Switch
2025-05-14 14:03:05,2,5,s5,Switch
2025-05-14 14:03:05,2,6,s6,Switch
2025-05-14 14:03:05,2,7,s7,Switch
2025-05-14 14:03:05,2,8,s8,Switch
2025-05-14 14:03:05,2,9,s9,Switch
2025-05-14 14:03:05,2,10,s10,Switch
2025-05-14 14:03:05,2,11,ap1,AP
2025-05-14 14:03:05,2,12,ap2,AP
2025-05-14 14:03:05,2,13,ap3,AP
2025-05-14 14:03:05,2,14,ap4,AP
2025-05-14 14:03:05,2,15,ap5,AP
2025-05-14 14:03:05,2,16,ap6,AP
2025-05-14 14:03:05,2,17,ap7,AP
2025-05-14 14:03:05,2,18,ap8,AP
2025-05-14 14:03:14,3,29206341865539,s0,Switch
2025-05-14 14:03:14,3,1,s1,Switch
2025-05-14 14:03:14,3,2,s2,Switch
2025-05-14 14:03:14,3,3,s3,Switch
2025-05-14 14:03:14,3,4,s4,Switch
2025-05-14 14:03:14,3,5,s5,Switch
2025-05-14 14:03:14,3,6,s6,Switch
2025-05-14 14:03:14,3,7,s7,Switch
2025-05-14 14:03:14,3,8,s8,Switch
2025-05-14 14:03:14,3,9,s9,Switch
2025-05-14 14:03:14,3,10,s10,Switch
2025-05-14 14:03:14,3,11,ap1,AP
2025-05-14 14:03:14,3,12,ap2,AP
2025-05-14 14:03:14,3,13,ap3,AP
2025-05-14 14:03:14,3,14,ap4,AP
2025-05-14 14:03:14,3,15,ap5,AP
2025-05-14 14:03:14,3,16,ap6,AP
2025-05-14 14:03:14,3,17,ap7,AP
2025-05-14 14:03:14,3,18,ap8,AP
